sloid,distance_m
ch:1:sloid:70643:0:1001,6650.25
ch:1:sloid:1707:0:1001,3226.69
ch:1:sloid:1707:0:1002,3226.63
ch:1:sloid:30100:0:290588,2487.66
ch:1:sloid:30169:0:346485,1879.04
ch:1:sloid:277:0:693607,1451.9
ch:1:sloid:30543:0:499334,1413.31
ch:1:sloid:5204:2:2,892.854
ch:1:sloid:88141::130201,846.803
ch:1:sloid:92163:0:305,680.148
ch:1:sloid:83733:0:200812,679.606
ch:1:sloid:71648:0:376297,669.013
ch:1:sloid:83733:0:54943,662.836
ch:1:sloid:71648:0:839168,661.916
ch:1:sloid:71819:0:8696,648.852
ch:1:sloid:71819:0:677397,648.423
ch:1:sloid:71649:0:49168,611.937
ch:1:sloid:71649:0:50159,611.874
ch:1:sloid:70641:0:1509,595.609
ch:1:sloid:1518:0:02,593.801
ch:1:sloid:70641:0:1001,587.132
ch:1:sloid:1518:0:01,583.953
ch:1:sloid:76154::3,551.069
ch:1:sloid:31142:0:980675,549.612
ch:1:sloid:75466:0:225380,546.786
ch:1:sloid:75466:0:450734,545.877
ch:1:sloid:31036:0:901659,522.127
ch:1:sloid:1521:0:02,517.059
ch:1:sloid:88943:2:7,510.577
ch:1:sloid:1521:0:01,504.903
ch:1:sloid:70641:0:1002,502.825
ch:1:sloid:74540:0:380829,500.077
ch:1:sloid:8470:0:520948,485.409
ch:1:sloid:87381:0:866774,472.029
ch:1:sloid:57042::80,464.246
ch:1:sloid:79798:0:913,462.904
ch:1:sloid:93819:0:499,461.08
ch:1:sloid:91788:0:186993,458.099
ch:1:sloid:93819:0:3140,455.734
ch:1:sloid:71335:0:410303,450.857
ch:1:sloid:70383:0:17860,447.658
ch:1:sloid:74583:0:280,437.809
ch:1:sloid:70868:0:624783,434.776
ch:1:sloid:88943:1:12,424.126
ch:1:sloid:95873:0:101,419.514
ch:1:sloid:76798:0:680,419.208
ch:1:sloid:79450:0:883191,418.354
ch:1:sloid:80344:0:560517,416.178
ch:1:sloid:88943:1:11,416.112
ch:1:sloid:87381:0:866774,411.594
ch:1:sloid:79450:0:725435,410.072
ch:1:sloid:76388:0:407558,409.977
ch:1:sloid:1713:0:887470,402.308
ch:1:sloid:76388:0:686389,401.6
ch:1:sloid:76798:0:679,399.024
ch:1:sloid:79451:0:988269,391.788
ch:1:sloid:79451:0:917181,389.474
ch:1:sloid:91123::86,383.495
ch:1:sloid:9740:0:916658,381.384
ch:1:sloid:9740:0:249643,381.384
ch:1:sloid:57113:0:953704,378.424
ch:1:sloid:57113:0:953704,378.093
ch:1:sloid:91829::80,376.192
ch:1:sloid:76154::0,374.215
ch:1:sloid:3723:0:522334,370.35
ch:1:sloid:73197::81,365.188
ch:1:sloid:75687:0:862991,358.766
ch:1:sloid:75687:0:482117,356.017
ch:1:sloid:73197::80,354.723
ch:1:sloid:78700:0:04,349.37
ch:1:sloid:81826:0:438721,348.033
ch:1:sloid:71877:0:872043,346.766
ch:1:sloid:75955::80,346.22
ch:1:sloid:71877:0:637882,342.947
ch:1:sloid:95388:0:03,342.812
ch:1:sloid:81826:0:673859,342.749
ch:1:sloid:71813:0:986156,340.39
ch:1:sloid:80344:0:744044,336.609
ch:1:sloid:78700:0:03,333.768
ch:1:sloid:88598:0:15853,327.995
ch:1:sloid:88529::885291,326.684
ch:1:sloid:75434:0:363927,325.551
ch:1:sloid:70847:0:30713,325.348
ch:1:sloid:70847:0:780826,324.906
ch:1:sloid:75434:0:823080,323.756
ch:1:sloid:88943:1:9,323.441
ch:1:sloid:88943:1:6,320.936
ch:1:sloid:75838:0:424226,320.002
ch:1:sloid:94620:0:458850,314.933
ch:1:sloid:71813:0:285745,314.853
ch:1:sloid:88545:0:484977,314.108
ch:1:sloid:1171:0:1321,313.283
ch:1:sloid:57042::81,312.413
ch:1:sloid:1742:0:709276,311.727
ch:1:sloid:91068::80,311.382
ch:1:sloid:79541:0:01,310.394
ch:1:sloid:2163:0:984426,310.273
ch:1:sloid:2020:0:87771,308.952
ch:1:sloid:2163:0:637074,308.572
ch:1:sloid:7291:0:542353,307.277
ch:1:sloid:88850:0:2870,304.518
ch:1:sloid:7921:0:2,303.588
ch:1:sloid:75838:0:805795,302.741
ch:1:sloid:75609:0:951970,300.759
ch:1:sloid:30152:0:738381,300.66
ch:1:sloid:4204:0:1,300.418
